,Teks,label
1056,silahkan berkas dambil di ruang saya,0
1057,"Silahkan klo pd mau besok gpp, saya nyusul aja paling laporan ke bapaknya. Udh ngehubungin bapak jg.",0
1058,Silahkan tebak umurnya~,0
1059,"soal ada multiple choice ada essay. Yg weka masuk ke essay, tapi ada juga file yang dikumpulkan.",0
1060,"Soalnya aku pernah ujug2 dtng, terus bapak nya bilang kalau mau bimbingan bls wa ya, biar saya bisa estimasi waktu, gitu",0
1061,Soalnya bapa mau liat database secara keseluruhan.,0
1062,Soalnya ini fitutnya lebih lengkap.,0
1063,Soalnya yang aku udah ditambahin,0
1064,"sok saya bebas gmna kalian, bsok hayu , jumat oke",0
1065,"Struktur Data, PLA, Skripsi, dan Sidang",0
1066,Subuh jg abis maghrib itu teh ahaha,0
1067,"Sudah pak di email, saya cantumkan direct link juga diemail kalo misalkan file google drive tidak bisa di download",0
1068,Sundae min sirup kiwi pake cochochips :*,0
1069,"supaya kita bisa mulai cepat, tolong posisi duduknya diatur dari awal, diberi jarak satu kolom kosong selang seling.",0
1070,"Tadi udah bertemu beliau pa. Kata beliau, pengujiannya bisanga besok pa.",0
1071,Tapi daging kurban mentahnya udah ga ada :3,0
1072,tapi kuliahnya sekarang. SP sebenarnya tidak boleh untuk kuliah yg ada praktikum.,0
1073,"Tapi masukin aja dulu, soalnya aku data pasien dari sana.",0
1074,Taqoballahu Minna waminkum. #SelamatMenyambutKemenangan,0
1075,Teh jadi mau ketemuan ,0
1076,Teh maaf kalau teteh sibuk gpp nanti bayar besok aja pas pengiriman ,0
1077,Temen * yg lain bisa juga ya di undang ke grup ini,0
1078,Terima kasih atas konfirmasinya. Orderan sedang kami proses.,0
1079,Terimakasih telah melakukan pengisian ulang dgn SN 41000795569091 senilai 20000.,0
1080,"Terimakasih, saat ini Anda masih terdaftar sebagai pelanggan TCash.",0
1081,Terimakasih. Paket 60 mb Anda telah aktif. Cek bonus *889#. Katalog Poin lengkap tsel.me/telkomselpoin. S&K berlaku,0
1082,Terlepas dr pelaku2 nya. Ambil dr sisi guru nya. Menarik bgt.,0
1083,Ternyata formatnya banyak berantakan dari odp ke google sheet. Saya sdg rapikan sambil buat soal. Besok subuh harap cek lagi ya.,0
1084,Tersrrah aja. Pagi juga nggak pa2,0
1085,"Terus kalau ada yang nanya, kita masuknya suka pagi sampai siang kadang juga siang sampai sore. Gimana dari sananha.",0
1086,tes toefl di balai bisa weekend ga?,0
1087,"Tiga kali juga dil, april, juli, sama okt",0
1088,nama1 udah diperpus nama1.. yuk kesini tika tugu diperpus ya,0
1089,nama1  kalau kelompok sistem pembelajaran bhs jepang itu siapa ajaa?,0
1090,nama1 kemaren kamera dan handycam waktu msceis pake kamera siapa aj?,0
1091,TOPUP pulsa Rp50000 berhasil via transfer ATM BNI kode trx 01123190427523627. Pulsa anda saat ini Rp 54205. Terima kasih telah menggunakan INDOSAT OOREDOO,0
1092,"Tp aku gak tertarik gt sih diperusahaan itu, org it nya baru satu ",0
1093,Tp aku masih lucu ngebayangin kalian pacaran teh hahahaha,0
1094,Tp baru tau teori doang sih...... Da blm ngerasain yg rumit2,0
1095,Tp belum pasti ya. Kalau ada temen mah mau. Soalnya ga ada halangan untuk hdr kyknya hihi,0
1096,Tp berapa lama lagi ya Pak?,0
1097,Tp klo jd mmber mh bsa lbh murah dil,0
1098,Traveloka.com: Your e-ticket summary 25-07-2016/15:30/XPRESS XN-738/PDG-BDO/DZZZZ Total: 1 passenger(s),0
1099,Tunggu aja dulu di lobi bawah kalo saya belum datang ya...,0
1100,Udah aa aa semua sih. Makan mah sama cewek2. Lupa ih mukanya dy aku gak bisa nginget wajah hahaha,0
1101,"udah di benerin, kamu jangan sync dulu. backup filenya baru sync terus push dengan file kamu.",0
1102,"Udah di beres2in, tp lampu depannya ada yg mati kl gasalah",0
1103,Udah lama ga bimbingan 😂,0
1104,Udh teh kata bapa bsk kekantor cuman blm dbls lg jamber.. jd blm pasti jg,0
1105,"nama1, ntar bilang aja ke kaka kamu, pas instal ulang gagal ngeformat C nya, ada error tpi semua data di C nya udah keformat. Pas mau nyoba instal windows nya, muncul error yg sama, error code 0x80070057. Kemungkinan ada yg rusak di harddisk nya.",0
1106,Untuk ayam bakar atau rica rica brp Pak?,0
1107,"untuk dwm soal klasifikasi, algoritma yang menjadi dasar adalah random forest dengan akurasi model kira2 0.8. Setelah menggunakan data test (data yg saya berikan kemarin di UAS untuk diprediksi), akurasi yg didapat adalah 0.75. Jika mhs mendapat akurasi 0.75 dia akan mendapat nilai maksimal (20point). Akurasi tertinggi 0.77 diperoleh oleh nama1",0
1108,"Untuk yg kontrak game prog (dan juga dwm): kita jadwalkan untuk ikut Gemastik. Ini kompetisi terbesar antar prodi ilkom/IF, dan kita punya peluang besar untuk bidang ini.",0
1109,"Urang mah kayanya dah jumatan, tapi jam 2an. Mau ke pa lala dulu bentar.",0
1110,Usul: Anak sospol dan yg berminat turun deh. Pelajari ttg ini,0
1111,Waaah keren kang,0
1112,Waalaikumsalam. Jumat ya pukul 9.,0
1113,Waalaikumsalamin apa yg dpt saya bantu min?,0
1114,Wah iya dy?haha sabar bgt anaknya teh jd we aku yg gtau diri ngomong seenaknya :(,0
1115,wah mantap(ok) btw nge-cc perihal sponsor jg ya osnnya.. semoga yg terbaik utk kemakom,0
1116,"wah repot kalo asumsinya gitu, kadang ada yg ganti kelompok. biasakan setiap dokumen itu ada nama, klau saya print lalu saya periksanya offline bingung kan mau dimasukkan ke mana kalau gak ada nama satupun.",0
1117,Waktu itu malas sep hihi. Dilihat jd lebih rapih aja 😆👍,0
1118,Wid jgn plg sebelum ketemu aku. Aku brgkt jam 5 hehe,0
1119,Wihh nyimper kopernya dmn? Motor gigi kan?,0
1120,wisudaan kan hari jumat,0
1121,"Wkwk tumben kar biasanya masing2 punya sendiri kar, sampe yg sewarna ada 3",0
1122,"Wooh ada yg mau nikah lagi, udah lulus langsung diiket",0
1123,Ya ampuun pak jendral wk,0
1124,"ya masuk aja, belum ada tugas/quiz kok. cuma perlu ngejar dikit. Materinya sekarang sudah sampai location aware app. pertemuan berikutnya masuk ke sensor.",0
1125,"ya nggk jd masalh, toh model bisa diload dicontroler mana aja kan?",0
1126,Yah saya dikostan temen dil. Hihi,0
1127,"yahh masih lama ya, urgent ini wkwk",0
1128,"Yang ada waktu luang besok pada futsal ya jam 4 di sampoerna, s Jangan ngaret",0
1129,Yang sinonim bukan?,0
1130,"Yaudah gausah babakaran atuh, yg pake kompor aja. Lagian ribet kan nyalain arengnya",0
1131,"Yaudah sekarang mah eta harddisk di laptop maneh keluarin terus dijadiin harddisk external aja.. cari temen yang punya case nya.. entar datanya copy-in, paling maneh ngerjain di luar dulu aja ga di laptop itu",0
1132,"yaudah, minta data dummy untuk diagnosa_pasien dong",0
1133,"Yg butuh kosan perbulan bisa langsung ditempatin. Lokasi di gang samping gokana setiabudi, khusus cewe jam bebas, bersih, fasilitas kasur sama lemari kunci pegang masing2. Harga 725/bulan. Bisa hub ####  id line: titaniadbl",0
1134,"Yg dian ge waktu itu yudisium akhirnya sore2, ga dibarengin sama nondik sampe jam 6kurang keluar yudisium teh",0
1135,Yg mau ngampus aku pengen titip bawain SKL aku di prodi😭,0
1136,Yg ragu sm bulet/datar atau yg pgn ikutan debat kusir :v,0
1137,Yg sebelah warteg bahri apa sebrangnya? Yg 15,0
1138,"Yooo sama2, oke nanti aku umumin di grup kelas",0
1139,😁 sebelumnya ga ad nulis kerudung. Kirain warna jins,0
1140,Mba mau kirim 300 ya,0
1141,nama1  beaok bwrangkat pagi...mau cas atay tranfer?,0
1142,No bri atas nama kamu mana,0
